RNALocate_ID	Species	RNA_Symbol	RNA_Type	Subcellular_Localization	GO_Accession	PubMed_ID	RNALocate_Score
RL-E-m-0000947	Mus musculus	2610524H06Rik	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000949	Mus musculus	Ercc4	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000950	Mus musculus	Ccni	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000951	Mus musculus	B230217C12Rik	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000954	Mus musculus	Tmem178b	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000960	Mus musculus	Gm10840	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000962	Mus musculus	Zfp846	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000963	Mus musculus	BY298627	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000967	Mus musculus	Protein tyrosine phosphate d (PTPd)	mRNA	Cell body	GO:0044297	27026654.0	0.694505649698505
RL-E-m-0000968	Mus musculus	Fcor	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000969	Mus musculus	Csnk1e	mRNA	Cell body	GO:0044297	11517247.0	0.694505649698505
RL-E-m-0000971	Mus musculus	Mbp	mRNA	Cell body	GO:0044297	7877439.0	0.694505649698505
RL-E-m-0000972	Mus musculus	Gm17409	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000974	Mus musculus	9330182O14Rik	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000975	Mus musculus	Itpripl2	mRNA	Cell body	GO:0044297	18184812.0	0.694505649698505
RL-E-m-0000978	Mus musculus	Fxr2	mRNA	Cell body	GO:0044297	28082376.0	0.694505649698505
RL-E-m-0000983	Mus musculus	Fxr1	mRNA	Cell body	GO:0044297	28082376.0	0.694505649698505
RL-E-m-0001006	Mus musculus	Actb	mRNA	Cell leading edge	GO:0031252	26140598.0	0.904945420481312
RL-E-m-0001008	Mus musculus	Bmp-6	mRNA	Cell leading edge	GO:0031252	9856831.0	0.694505649698505
RL-E-m-0001010	Mus musculus	Actb	mRNA	Cell leading edge	GO:0031252	18451862.0	0.904945420481312
RL-E-m-0001014	Mus musculus	Actb	mRNA	Cell leading edge	GO:0031252	22832165.0	0.904945420481312
RL-E-m-0001041	Mus musculus	Nin	mRNA	Centrosome	GO:0005813	33649372.0	0.694505649698505
RL-E-m-0001045	Mus musculus	Bicd2	mRNA	Centrosome	GO:0005813	33649372.0	0.694505649698505
RL-E-m-0017748	Mus musculus	Mc1r	mRNA	Cytoplasm	GO:0005737	38433184.0	0.836757224078988
RL-E-m-0019358	Mus musculus	Lsm1	mRNA	Cytoplasm	GO:0005737	36810573.0	0.694505649698505
RL-E-m-0019365	Mus musculus	6330403K07Rik	mRNA	Cytoplasm	GO:0005737	34897904.0	0.694505649698505
RL-E-m-0019506	Mus musculus	Lrrc8a	mRNA	Cytoplasm	GO:0005737	33365071.0	0.694505649698505
RL-E-m-0019508	Mus musculus	Smurf1	mRNA	Cytoplasm	GO:0005737	35210394.0	0.836757224078988
RL-E-m-0021001	Mus musculus	Dr1	mRNA	Cytoplasm	GO:0005737	37682711.0	0.694505649698505
RL-E-m-0021002	Mus musculus	Mbip	mRNA	Cytoplasm	GO:0005737	37682711.0	0.694505649698505
RL-E-m-0022069	Mus musculus	Zzz3	mRNA	Cytoplasm	GO:0005737	37682711.0	0.694505649698505
RL-E-m-0024262	Mus musculus	Ccnb2	mRNA	Cytoplasm	GO:0005737	34293340.0	0.694505649698505
RL-E-m-0026240	Mus musculus	Pou5f1	mRNA	Cytoplasm	GO:0005737	35620421.0	0.694505649698505
RL-E-m-0030501	Mus musculus	Actb	mRNA	Cytoplasm	GO:0005737	34293340.0	0.890460238360382
RL-E-m-0030748	Mus musculus	Ccnb3	mRNA	Cytoplasm	GO:0005737	34293340.0	0.795006069178413
RL-E-m-0031884	Mus musculus	Actb	mRNA	Cytoplasm	GO:0005737	29042633.0	0.890460238360382
RL-E-m-0032125	Mus musculus	Ccnb3	mRNA	Cytoplasm	GO:0005737	22406755.0	0.795006069178413
RL-E-m-0032242	Mus musculus	Gnrh1	mRNA	Cytoplasm	GO:0005737	27389022.0	0.694505649698505
RL-E-m-0032758	Mus musculus	Oprm1	mRNA	Cytoplasm	GO:0005737	31187646.0	0.836757224078988
RL-E-m-0032826	Mus musculus	Actb	mRNA	Cytoplasm	GO:0005737	22817891.0	0.890460238360382
RL-E-m-0032924	Mus musculus	Xbp1	mRNA	Cytoplasm	GO:0005737	26068456.0	0.694505649698505
RL-E-m-0032939	Mus musculus	Mat2b	mRNA	Cytoplasm	GO:0005737	32046373.0	0.836757224078988
RL-E-m-0032940	Mus musculus	Pabpc1l	mRNA	Cytoplasm	GO:0005737	25370180.0	0.694505649698505
RL-E-m-0032955	Mus musculus	mlinRasGEF1B	mRNA	Cytoplasm	GO:0005737	27362560.0	0.694505649698505
RL-E-m-0033123	Mus musculus	Adam9	mRNA	Cytoplasm	GO:0005737	32612155.0	0.694505649698505
RL-E-m-0033124	Mus musculus	Psen1	mRNA	Cytoplasm	GO:0005737	32612155.0	0.694505649698505
RL-E-m-0033126	Mus musculus	Egr1	mRNA	Cytoplasm	GO:0005737	28515681.0	0.694505649698505
RL-E-m-0033143	Mus musculus	Gria1	mRNA	Cytoplasm	GO:0005737	25968143.0	0.694505649698505
RL-E-m-0033166	Mus musculus	Nme1	mRNA	Cytoplasm	GO:0005737	11891645.0	0.694505649698505
RL-E-m-0033228	Mus musculus	Dll4	mRNA	Cytoplasm	GO:0005737	25914805.0	0.694505649698505
RL-E-m-0033230	Mus musculus	Mme	mRNA	Cytoplasm	GO:0005737	8026647.0	0.694505649698505
RL-E-m-0033241	Mus musculus	Ppia	mRNA	Cytoplasm	GO:0005737	16874305.0	0.836757224078988
RL-E-m-0033543	Mus musculus	pro α2 collagen	mRNA	Cytoplasm	GO:0005737	2405055.0	0.694505649698505
RL-E-m-0033545	Mus musculus	Adk	mRNA	Cytoplasm	GO:0005737	33961946.0	0.694505649698505
RL-E-m-0033582	Mus musculus	Star	mRNA	Cytoplasm	GO:0005737	27091298.0	0.694505649698505
RL-E-m-0033588	Mus musculus	Cldn7	mRNA	Cytoplasm	GO:0005737	28455726.0	0.694505649698505
RL-E-m-0033785	Mus musculus	Apoe	mRNA	Cytoplasm	GO:0005737	32650236.0	0.694505649698505
RL-E-m-0034183	Mus musculus	Trdn	mRNA	Cytoplasm	GO:0005737	29126880.0	0.694505649698505
RL-E-m-0034428	Mus musculus	Mctp1	mRNA	Cytoplasm	GO:0005737	32605607.0	0.795006069178413
RL-E-m-0034432	Mus musculus	Gapdh	mRNA	Cytoplasm	GO:0005737	29126880.0	0.836757224078988
RL-E-m-0034443	Mus musculus	Uchl1	mRNA	Cytoplasm	GO:0005737	23064229.0	0.904945420481312
RL-E-m-0034524	Mus musculus	H2-T23	mRNA	Cytoplasm	GO:0005737	23898399.0	0.694505649698505
RL-E-m-0034535	Mus musculus	Snai3	mRNA	Cytoplasm	GO:0005737	29381885.0	0.694505649698505
RL-E-m-0034637	Mus musculus	Igf2	mRNA	Cytoplasm	GO:0005737	17948025.0	0.836757224078988
RL-E-m-0034833	Mus musculus	Tlr4	mRNA	Cytoplasm	GO:0005737	31630796.0	0.694505649698505
RL-E-m-0034904	Mus musculus	Igf2r	mRNA	Cytoplasm	GO:0005737	16874305.0	0.836757224078988
RL-E-m-0034956	Mus musculus	Gapdh	mRNA	Cytoplasm	GO:0005737	16874305.0	0.836757224078988
RL-E-m-0034994	Mus musculus	Rarb	mRNA	Cytoplasm	GO:0005737	32605607.0	0.795006069178413
RL-E-m-0034998	Mus musculus	Trdn	mRNA	Cytoplasm	GO:0005737	29126880.0	0.694505649698505
RL-E-m-0035005	Mus musculus	Mbnl1	mRNA	Cytoplasm	GO:0005737	29490267.0	0.694505649698505
RL-E-m-0035019	Mus musculus	Gapdh	mRNA	Cytoplasm	GO:0005737	23898399.0	0.836757224078988
RL-E-m-0035075	Mus musculus	Hsf1	mRNA	Cytoplasm	GO:0005737	32207633.0	0.694505649698505
RL-E-m-0062084	Mus musculus	utrophin-A	mRNA	Cytosol	GO:0005829	34904931.0	0.694505649698505
RL-E-m-0070332	Mus musculus	actin	mRNA	Cytosol	GO:0005829	15972000.0	0.694505649698505
RL-E-m-0070825	Mus musculus	Actb	mRNA	Cytosol	GO:0005829	27399804.0	0.694505649698505
RL-E-m-0071041	Mus musculus	Pde9a	mRNA	Cytosol	GO:0005829	29505961.0	0.694505649698505
RL-E-m-0071498	Mus musculus	Gapdh	mRNA	Cytosol	GO:0005829	27399804.0	0.836757224078988
RL-E-m-0073135	Mus musculus	Stmp1	mRNA	Cytosol	GO:0005829	31836654.0	0.836757224078988
RL-E-m-0073163	Mus musculus	Il1a	mRNA	Cytosol	GO:0005829	26179904.0	0.694505649698505
RL-E-m-0076187	Mus musculus	Gapdh	mRNA	Cytosol	GO:0005829	26179904.0	0.836757224078988
RL-E-m-0077833	Mus musculus	Car2	mRNA	Cytosol	GO:0005829	20820888.0	0.694505649698505
RL-E-m-0077835	Mus musculus	Car7	mRNA	Cytosol	GO:0005829	20820888.0	0.694505649698505
RL-E-m-0078879	Mus musculus	Car13	mRNA	Cytosol	GO:0005829	20820888.0	0.694505649698505
RL-E-m-0079933	Mus musculus	Car3	mRNA	Cytosol	GO:0005829	20820888.0	0.694505649698505
RL-E-m-0080117	Mus musculus	Actb	mRNA	Cytosol	GO:0005829	29051223.0	0.694505649698505
RL-E-m-0080424	Mus musculus	Cebpb	mRNA	Cytosol	GO:0005829	18678862.0	0.694505649698505
RL-E-m-0081082	Mus musculus	Endog	mRNA	Cytosol	GO:0005829	15280156.0	0.694505649698505
RL-E-m-0082453	Mus musculus	Atp2a2	mRNA	Cytosol	GO:0005829	34713358.0	0.694505649698505
RL-E-m-0082677	Mus musculus	Scn5a	mRNA	Cytosol	GO:0005829	34713358.0	0.694505649698505
RL-E-m-0083314	Mus musculus	Ryr2	mRNA	Cytosol	GO:0005829	34713358.0	0.694505649698505
RL-E-m-0090328	Mus musculus	Canx	mRNA	Cytosolic ribosome	GO:0022626	12923260.0	0.836757224078988
